lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.220592
# Diagonal elements of inverse mass matrix:
# 0.0250883, 0.163609, 0.0108166, 0.0168376, 0.00210225, 0.00636659, 0.000555441, 0.079654, 0.492413, 0.00233053, 0.00578739, 0.00378144, 0.048682, 0.0239143, 0.0212116, 0.161747, 0.0279692, 0.0253528, 0.0480812, 0.0432333, 0.0857073, 0.0286794
1.19642,0.713682,0.220592,5,31,0,14.3903,0.0394816,0.276911,3.83175,2.48392,10.7254,6.35579,19.2328,2.09341,0.0649528,9.25193,6.25439,7.23292,2.24379,4.81813,4.35535,2.932,2.67711,3.13733,3.26694,1.60692,2.11869,3.28853,6.07554,7.30205,15.0808,9.28779,21.9099,5.23074,3.33189,10.8589,8.37308,10.5215,0.747931,1.60604,1.45178,0.977333,0.892372,1.04578,1.08898,0.535641,0.706231,1.09618,1.45164
-2.16475,0.993073,0.220592,4,15,0,8.67287,-0.0638132,0.669855,3.86889,2.48466,11.099,5.66938,18.9487,1.99155,0.0178851,8.77992,5.96179,6.51458,2.20246,4.91083,4.04791,4.47735,3.22834,3.24226,2.37023,2.20064,2.43063,4.00069,6.07135,7.39549,15.1469,10.1467,22.177,5.23381,2.38811,10.9806,8.39242,10.5153,0.734155,1.63694,1.3493,1.49245,1.07611,1.08075,0.790076,0.733547,0.810209,1.33356,0.925096
0.815123,0.980584,0.220592,4,15,0,13.3424,0.340715,0.33159,3.46953,2.70459,10.8047,5.60181,19.0402,2.08889,0.300708,8.52536,6.27647,6.58569,2.9179,4.70811,4.34164,4.17439,2.95539,3.15648,2.56431,1.93492,2.25737,3.93482,6.38743,7.41269,15.1464,9.77621,21.9956,5.24537,2.86502,10.4603,8.53383,10.5205,0.972632,1.56937,1.44721,1.39146,0.985131,1.05216,0.854771,0.644972,0.752455,1.31161,2.25399
5.612,0.989089,0.220592,5,31,0,14.6466,-0.419147,0.513732,4.68276,4.7891,11.2027,6.06781,19.2274,1.61974,1.42071,8.67952,6.94735,7.99277,1.60656,2.81749,3.82768,2.34418,2.76046,3.99531,1.31242,2.36975,0.662147,2.32559,6.28931,7.60659,15.0304,8.41199,21.9879,5.61506,2.73313,11.0493,7.60949,10.3184,0.535519,0.939165,1.27589,0.781393,0.920152,1.33177,0.437474,0.789916,0.220716,0.775196,0.409405
5.15358,0.957198,0.220592,4,31,0,2.33566,-0.392032,0.868205,3.96084,4.87418,11.2607,6.19095,19.1498,1.80456,1.31614,8.45231,6.98625,8.21846,2.12046,2.69973,4.39005,4.95451,3.20436,3.56036,1.45651,2.15632,0.757531,2.35303,6.0813,7.5739,15.6508,11.1455,22.3541,5.36492,2.77266,10.6086,7.74378,10.5715,0.706819,0.899908,1.46335,1.6515,1.06812,1.18679,0.485505,0.718773,0.25251,0.784344,0.138675
5.02022,0.770962,0.220592,5,31,0,6.63002,0.201099,0.614282,4.45484,2.71987,10.6092,5.96372,19.7552,2.36689,0.359566,8.65344,6.54236,6.62545,2.0128,4.66957,4.59637,3.39227,2.80124,3.07168,2.42932,2.2243,1.20279,4.29288,6.46764,7.38944,15.2055,9.35598,22.5565,5.43857,2.78889,10.8777,7.74514,10.9183,0.670933,1.55652,1.53212,1.13076,0.933745,1.02389,0.809775,0.741433,0.400929,1.43096,1.415
10.2362,0.970591,0.220592,4,31,0,5.15031,-0.274458,0.29547,4.76825,3.56695,11.1444,6.05746,18.5673,1.55107,0.87285,8.07681,5.86064,7.27418,1.42257,3.97684,4.32049,1.85318,3.77553,3.9915,2.1103,2.79046,1.95535,3.38364,6.19082,7.54378,15.4649,7.91065,22.3428,5.54257,2.98315,10.8673,7.816,10.6578,0.474191,1.32561,1.44016,0.617728,1.25851,1.3305,0.703432,0.930153,0.651785,1.12788,0.873547
7.38894,0.780616,0.220592,4,15,0,0.861736,0.22736,0.434268,4.77574,3.95963,10.6581,6.17338,19.2475,2.08099,0.622159,9.3498,6.10466,8.03511,1.47044,3.56617,4.72771,2.96308,2.81875,3.13205,1.84459,1.51282,1.79198,2.60687,6.24618,7.5258,15.3858,9.13646,22.0662,5.21304,2.46675,10.8626,7.89664,10.642,0.490147,1.18872,1.5759,0.987694,0.939584,1.04402,0.614862,0.504272,0.597328,0.868956,2.40259
8.99712,0.97245,0.220592,5,31,0,-0.451817,-0.175867,0.339111,3.75739,3.08621,11.1598,5.85974,19.2976,1.27849,1.18261,8.71002,5.83944,6.63132,2.73631,4.53934,4.24075,4.04407,2.90437,4.22554,1.86597,2.23418,1.61795,3.95593,6.4937,7.62555,15.4005,9.90381,22.202,5.50403,3.04858,10.9442,7.4574,10.5873,0.912103,1.51311,1.41358,1.34802,0.968122,1.40851,0.62199,0.744726,0.539318,1.31864,0.912254
9.00109,0.89255,0.220592,4,31,0,1.24613,0.121284,0.388132,4.49915,3.74422,12.0824,6.24301,19.1621,2.3507,0.546622,8.40493,6.09081,8.22022,1.99771,3.7854,3.17616,2.60232,3.02418,3.22731,2.50241,2.53277,1.48949,2.75156,6.49686,7.52962,15.2586,8.84533,22.1863,5.57801,3.04903,10.9377,7.5803,10.9718,0.665904,1.2618,1.05872,0.867441,1.00806,1.07577,0.834136,0.844257,0.496496,0.917188,2.22269
8.62691,0.913823,0.220592,4,31,0,1.71851,-0.0566886,0.342263,4.3996,3.97553,10.1686,6.13048,19.3589,2.42241,1.00667,8.07128,6.1405,7.51151,2.14264,3.50527,5.15693,5.36589,2.79793,2.65703,1.87515,2.6711,1.44721,3.52166,6.54225,7.4808,15.3256,11.4964,22.1568,5.07944,2.88182,10.7424,7.58771,11.0332,0.714214,1.16842,1.71898,1.78863,0.932644,0.885676,0.625049,0.890368,0.482402,1.17389,0.813525
7.99791,0.836908,0.220592,4,31,0,0.598444,0.0050985,0.546665,4.31374,3.87962,11.2472,6.45064,19.1192,1.87483,0.328801,8.63623,5.8002,8.13958,1.66165,3.63194,4.07007,5.01734,3.2757,3.38022,3.01632,2.1794,1.65314,2.45829,5.9754,7.51156,15.3173,11.468,22.3949,5.25504,3.34513,10.8156,7.45334,10.5979,0.553885,1.21065,1.35669,1.67245,1.0919,1.12674,1.00544,0.726467,0.551047,0.819429,0.902465
4.93283,0.731373,0.220592,5,31,0,5.64803,-0.215408,0.824499,3.77561,4.0987,11.7934,5.86114,19.1371,1.96351,1.60451,8.54791,6.04531,7.66626,2.55973,3.41042,3.89982,1.06426,2.6263,3.26534,1.53587,2.25598,1.33121,2.98713,6.33534,7.50912,15.6932,6.9254,21.7634,5.22885,3.14038,10.8039,7.37651,10.6534,0.853244,1.13681,1.29994,0.354754,0.875434,1.08845,0.511958,0.751995,0.443735,0.995711,0.323522
5.53235,1,0.220592,4,31,0,4.38704,-0.25184,0.927565,3.61828,4.03693,11.337,6.10662,19.2377,2.06574,1.19324,8.53618,6.04983,7.68797,3.14828,3.30132,4.04097,1.0303,2.8439,3.28864,1.33419,2.04003,1.52823,3.00553,6.76656,7.33825,15.3779,7.13691,22.0816,5.35438,2.52743,10.5762,7.57806,10.6935,1.04943,1.10044,1.34699,0.343432,0.947968,1.09621,0.444729,0.680009,0.509409,1.00184,1.55781
